s_0,s_1,s_2,s_3,s_4,s_5,s_6,action,d_0,d_1,d_2,d_3,d_4,d_5
0.5613088,0.0061799563,4.0269485,6.67572e-06,300.1118,300.1117,-17.643213,-14.693882,0.0027210712,7.916242e-09,0.0401392,4.7683716e-07,0.042144775,0.042175293
0.5640299,0.006179964,4.0670877,7.1525574e-06,300.15393,300.15387,-14.693882,-27.237535,0.0050439835,1.9092113e-08,-0.0177207,0.0,-0.029083252,-0.02911377
0.56907386,0.0061799833,4.049367,7.1525574e-06,300.12485,300.12476,-27.237535,-14.140119,0.0026185513,6.519258e-09,0.09147835,3.33786e-06,0.31002808,0.31002808
0.5716924,0.00617999,4.1408453,1.04904175e-05,300.43488,300.43478,-14.140119,-28.038046,0.00519222,1.5832484e-08,-0.07685566,-2.861023e-06,-0.0625,-0.0625
0.5768846,0.0061800056,4.0639896,7.6293945e-06,300.37238,300.37228,-28.038046,-18.82207,0.0034855604,8.381903e-09,0.09864998,3.8146973e-06,0.3211975,0.321167
0.5803702,0.006180014,4.1626396,1.1444092e-05,300.69357,300.69345,-18.82207,-8.248664,0.0015275478,-1.3969839e-09,-0.046787262,-1.4305115e-06,0.030761719,0.030761719
0.58189774,0.0061800126,4.1158524,1.001358e-05,300.72433,300.7242,-8.248664,-18.609425,0.0034462214,1.3969839e-09,-0.09075546,-5.2452087e-06,-0.21121216,-0.21118164
0.58534396,0.006180014,4.025097,4.7683716e-06,300.51312,300.51303,-18.609425,-14.8953,0.0027583838,4.656613e-09,0.07477522,9.536743e-07,0.02041626,0.02041626
0.58810234,0.0061800187,4.099872,5.722046e-06,300.53354,300.53345,-14.8953,-7.088343,0.0013126135,-9.313226e-10,-0.022122383,9.536743e-07,-0.06686401,-0.06686401
0.58941495,0.0061800177,4.0777497,6.67572e-06,300.46667,300.46658,-7.088343,-17.550127,0.0032500625,2.7939677e-09,-0.07051182,-2.861023e-06,-0.2064209,-0.20639038
0.592665,0.0061800205,4.007238,3.8146973e-06,300.26025,300.2602,-17.550127,-8.898024,0.0016477704,4.656613e-10,0.080646515,2.3841858e-06,0.011352539,0.011352539
0.5943128,0.006180021,4.0878844,6.198883e-06,300.2716,300.27155,-8.898024,-4.7017326,0.00087070465,-3.259629e-09,-0.064492226,-1.9073486e-06,-0.15890503,-0.15890503
0.5951835,0.0061800177,4.023392,4.2915344e-06,300.1127,300.11264,-4.7017326,-12.215276,0.0022620559,4.656613e-10,-0.048894882,-1.66893e-06,-0.19909668,-0.19909668
0.59744555,0.006180018,3.9744973,2.6226044e-06,299.9136,299.91354,-12.215276,-16.721027,0.003096521,7.916242e-09,0.06374025,1.66893e-06,-0.070251465,-0.070251465
0.60054207,0.006180026,4.0382376,4.2915344e-06,299.84335,299.8433,-16.721027,-17.78314,0.0032931566,1.1175871e-08,0.040338516,1.9073486e-06,0.0317688,0.031799316
0.6038352,0.0061800373,4.078576,6.198883e-06,299.87512,299.8751,-17.78314,-14.03949,0.002599895,6.0535967e-09,0.01813221,2.3841858e-06,0.05987549,0.05984497
0.6064351,0.0061800433,4.0967083,8.583069e-06,299.935,299.93494,-14.03949,-16.017221,0.0029661655,5.5879354e-09,-0.02029562,-9.536743e-07,-0.024749756,-0.024749756
0.6094013,0.006180049,4.0764127,7.6293945e-06,299.91025,299.9102,-16.017221,-11.236316,0.0020807981,1.3969839e-09,0.018174648,0.0,0.020874023,0.020874023
0.6114821,0.0061800503,4.0945873,7.6293945e-06,299.93112,299.93106,-11.236316,-12.484882,0.0023120046,9.313226e-10,-0.034879684,-1.4305115e-06,-0.07824707,-0.07824707
0.6137941,0.0061800512,4.0597076,6.198883e-06,299.85287,299.8528,-12.484882,-20.80963,0.003853619,6.519258e-09,0.008693695,0.0,-0.04852295,-0.04852295
0.6176477,0.006180058,4.0684013,6.198883e-06,299.80435,299.8043,-20.80963,-12.252604,0.0022690296,9.313226e-10,0.067732334,1.9073486e-06,0.14654541,0.14654541
0.61991674,0.0061800587,4.1361337,8.106232e-06,299.9509,299.95084,-12.252604,-14.802606,0.0027412176,3.259629e-09,-0.054192543,-1.4305115e-06,-0.05834961,-0.05834961
0.62265795,0.006180062,4.081941,6.67572e-06,299.89255,299.8925,-14.802606,-5.721761,0.0010595918,-6.0535967e-09,0.019961357,0.0,-0.0023498535,-0.0023498535
0.62371755,0.006180056,4.1019025,6.67572e-06,299.8902,299.89014,-5.721761,-9.968487,0.0018460155,-3.7252903e-09,-0.08270359,-3.8146973e-06,-0.15948486,-0.15945435
0.62556356,0.006180052,4.019199,2.861023e-06,299.7307,299.73068,-9.968487,-19.88369,0.0036821365,6.0535967e-09,0.03340578,9.536743e-07,-0.08389282,-0.08389282
0.6292457,0.0061800582,4.0526047,3.8146973e-06,299.64682,299.6468,-19.88369,-15.629585,0.0028944016,6.519258e-09,0.082746506,3.8146973e-06,0.13208008,0.13208008
0.6321401,0.0061800648,4.135351,7.6293945e-06,299.7789,299.77887,-15.629585,-7.6793203,0.0014221072,-4.1909516e-09,-0.01690054,9.536743e-07,0.027557373,0.027557373
0.6335622,0.0061800606,4.1184506,8.583069e-06,299.80646,299.80643,-7.6793203,-9.0223675,0.0016707778,-3.7252903e-09,-0.06744385,-4.2915344e-06,-0.123291016,-0.123291016
0.635233,0.006180057,4.051007,4.2915344e-06,299.68317,299.68314,-9.0223675,-12.879993,0.002385199,0.0,0.006398201,-4.7683716e-07,-0.09237671,-0.09237671
0.6376182,0.006180057,4.057405,3.8146973e-06,299.5908,299.59076,-12.879993,-15.930537,0.0029500723,3.7252903e-09,0.03361416,2.3841858e-06,-0.016326904,-0.016296387
0.64056826,0.0061800606,4.091019,6.198883e-06,299.57446,299.57446,-15.930537,-7.841395,0.001452148,-3.7252903e-09,0.031314373,9.536743e-07,0.05038452,0.05038452
0.6420204,0.006180057,4.1223335,7.1525574e-06,299.62485,299.62485,-7.841395,-17.049263,0.003157258,1.3969839e-09,-0.06459904,-2.861023e-06,-0.101867676,-0.101867676
0.64517766,0.0061800582,4.0577345,4.2915344e-06,299.52298,299.52298,-17.049263,-23.369028,0.0043275952,1.1641532e-08,0.077858925,1.9073486e-06,0.08026123,0.08023071
0.64950526,0.00618007,4.1355934,6.198883e-06,299.60324,299.6032,-23.369028,-15.441631,0.0028595328,3.7252903e-09,0.062293053,4.2915344e-06,0.24111938,0.2411499
0.6523648,0.0061800736,4.1978865,1.04904175e-05,299.84436,299.84436,-15.441631,-4.069903,0.00075370073,-8.381903e-09,-0.041829586,-1.9073486e-06,0.025726318,0.0256958
0.6531185,0.006180065,4.156057,8.583069e-06,299.8701,299.87006,-4.069903,-12.1807165,0.0022556782,-9.313226e-09,-0.11242437,-6.67572e-06,-0.1741333,-0.17410278
0.65537417,0.006180056,4.0436325,1.9073486e-06,299.69595,299.69595,-12.1807165,-24.584602,0.004552722,7.916242e-09,0.07034969,4.7683716e-07,-0.039031982,-0.039031982
0.6599269,0.006180064,4.113982,2.3841858e-06,299.65692,299.65692,-24.584602,-12.734888,0.0023583174,1.8626451e-09,0.10385513,5.2452087e-06,0.26409912,0.2640686
0.852623,0.010120206,4.079357,6.67572e-06,298.15,298.15,0.0,-12.046305,0.002230823,7.357448e-08,8.583069e-06,-6.67572e-06,0.0,0.0
0.8548538,0.010120279,4.0793657,0.0,298.15,298.15,-12.046305,-12.958187,0.0023996234,2.514571e-08,0.12708855,2.861023e-05,0.11859131,0.11853027
0.7375143,0.011362349,3.9823177,1.9073486e-06,298.15,298.15,0.0,-11.591757,0.0021466017,-6.61239e-08,1.001358e-05,-1.9073486e-06,0.0,0.0
0.7396609,0.011362283,3.9823277,0.0,298.15,298.15,-11.591757,-11.388712,0.0021090508,-1.4901161e-08,0.12469792,3.0040741e-05,0.10525513,0.10519409
0.74176997,0.011362268,4.1070256,3.0040741e-05,298.25525,298.2552,-11.388712,-10.088202,0.0018681884,-1.8626451e-09,0.014658928,-1.859665e-05,0.09738159,0.09738159
0.74363816,0.011362266,4.1216846,1.1444092e-05,298.35263,298.35257,-10.088202,-4.401315,0.0008150339,2.7939677e-09,0.00049495697,-5.2452087e-06,0.07009888,0.07009888
0.7444532,0.011362269,4.1221795,6.198883e-06,298.42273,298.42267,-4.401315,-22.920874,0.0042446256,9.313226e-10,-0.051578045,-4.2915344e-06,-0.008483887,-0.008483887
0.7486978,0.0113622695,4.0706015,1.9073486e-06,298.41425,298.41418,-22.920874,-4.600653,0.0008519888,0.0,0.15951443,4.7683716e-07,0.3399353,0.3399353
0.8611575,0.0096471375,4.085404,1.9073486e-06,298.15,298.15,0.0,0.0,0.0,0.0,1.0967255e-05,-1.9073486e-06,0.0,0.0
0.8611575,0.0096471375,4.085415,0.0,298.15,298.15,0.0,-4.9126754,0.0009098053,5.5879354e-09,0.0,0.0,0.0,0.0
0.8620673,0.009647143,4.085415,0.0,298.15,298.15,-4.9126754,-11.930226,0.0022092462,2.7939677e-09,0.060456753,1.5735626e-05,0.023651123,0.023651123
0.8642765,0.009647146,4.1458716,1.5735626e-05,298.17365,298.17365,-11.930226,0.0,0.0,0.0,0.06856108,-8.583069e-06,0.1182251,0.11819458
0.8749794,0.008722263,4.0919003,4.7683716e-07,298.15,298.15,0.0,-12.206607,0.0022604465,1.0244548e-08,1.1920929e-05,-4.7683716e-07,0.0,0.0
