s_0,s_1,s_2,s_3,s_4,s_5,s_6,action,d_0,d_1,d_2,d_3,d_4,d_5
0.26101184,0.008416654,3.54246,0.0,298.15,298.15,0.0,0.0,0.0,0.0,1.1205673e-05,0.0,0.0,0.0
0.26101184,0.008416654,3.5424712,0.0,298.15,298.15,0.0,-17.44497,0.003230542,1.648441e-07,0.0,0.0,0.0,0.0
0.26424238,0.008416818,3.5424712,0.0,298.15,298.15,-17.44497,-14.107108,0.002612412,3.632158e-08,0.1711855,3.838539e-05,0.21905518,0.21896362
0.2668548,0.008416855,3.7136567,3.838539e-05,298.36905,298.36896,-14.107108,-10.406832,0.001927197,2.7939677e-09,-0.004238844,-2.3126602e-05,0.14025879,0.14022827
0.268782,0.008416858,3.7094178,1.5258789e-05,298.5093,298.5092,-10.406832,-17.87743,0.0033106506,1.8626451e-09,-0.019218922,-8.106232e-06,0.062927246,0.062927246
0.27209264,0.008416859,3.690199,7.1525574e-06,298.57224,298.5721,-17.87743,-12.95389,0.0023988485,6.519258e-09,0.06543207,-1.4305115e-06,0.20861816,0.20861816
0.2744915,0.008416866,3.755631,5.722046e-06,298.78085,298.78073,-12.95389,-13.0793495,0.0024221241,6.519258e-09,-0.024286747,0.0,0.086517334,0.08654785
0.2769136,0.0084168725,3.7313442,5.722046e-06,298.86737,298.86728,-13.0793495,-23.677383,0.0043846965,2.142042e-08,0.0058972836,-2.3841858e-07,0.07998657,0.07998657
0.2812983,0.008416894,3.7372415,5.4836273e-06,298.94736,298.94727,-23.677383,-6.7886424,0.0012571514,1.8626451e-09,0.084162,2.6226044e-06,0.33135986,0.33132935
0.28255546,0.008416896,3.8214035,8.106232e-06,299.27872,299.2786,-6.7886424,-9.4573345,0.0017513633,1.8626451e-09,-0.12018585,-4.053116e-06,-0.0697937,-0.06976318
0.28430682,0.008416898,3.7012177,4.053116e-06,299.20892,299.20883,-9.4573345,-17.067429,0.0031606257,1.1175871e-08,0.019026995,-2.3841858e-07,-0.025146484,-0.025146484
0.28746745,0.008416909,3.7202446,3.8146973e-06,299.18378,299.1837,-17.067429,-14.170938,0.0026242435,1.3038516e-08,0.06279278,1.9073486e-06,0.12854004,0.12854004
0.2900917,0.008416922,3.7830374,5.722046e-06,299.31232,299.31223,-14.170938,-10.425464,0.001930654,7.450581e-09,-0.012449503,7.1525574e-07,0.054260254,0.054260254
0.29202235,0.008416929,3.770588,6.4373016e-06,299.36658,299.3665,-10.425464,-15.120277,0.0028000474,1.21071935e-08,-0.027874231,-9.536743e-07,-0.02545166,-0.02545166
0.2948224,0.008416941,3.7427137,5.4836273e-06,299.34113,299.34103,-15.120277,-14.733188,0.0027283728,1.3038516e-08,0.038788557,9.536743e-07,0.06817627,0.06817627
0.29755077,0.008416954,3.7815022,6.4373016e-06,299.4093,299.4092,-14.733188,-22.195969,0.004110366,2.3283064e-08,0.0034749508,2.3841858e-07,0.0541687,0.05419922
0.30166113,0.008416978,3.7849772,6.67572e-06,299.46347,299.4634,-22.195969,-9.807923,0.0018162727,5.5879354e-09,0.06090665,2.3841858e-06,0.23464966,0.23461914
0.3034774,0.008416983,3.8458838,9.059906e-06,299.69812,299.69803,-9.807923,-12.844913,0.0023787022,5.5879354e-09,-0.08384347,-3.33786e-06,-0.069366455,-0.069366455
