s_0,s_1,s_2,s_3,s_4,s_5,s_6,action,d_0,d_1,d_2,d_3,d_4,d_5
0.46341494,0.006179788,3.896724,5.4836273e-06,299.27222,299.2721,-26.19844,-17.568357,0.0032534003,1.3969839e-08,0.11651254,3.5762787e-06,0.36575317,0.36575317
0.46666834,0.006179802,4.0132365,9.059906e-06,299.63797,299.63785,-17.568357,-21.05754,0.0038995445,1.5366822e-08,-0.039152145,-2.3841858e-07,0.10580444,0.10580444
0.47056788,0.0061798175,3.9740844,8.821487e-06,299.74377,299.74365,-21.05754,-5.0293775,0.0009313822,-2.7939677e-09,0.031103134,7.1525574e-07,0.18411255,0.18411255
0.47149926,0.0061798147,4.0051875,9.536743e-06,299.9279,299.92776,-5.0293775,-3.8474064,0.0007124543,-4.1909516e-09,-0.13287735,-6.198883e-06,-0.16751099,-0.16748047
0.47221172,0.0061798105,3.8723102,3.33786e-06,299.76038,299.76028,-3.8474064,-16.770954,0.0031057596,-4.1909516e-09,-0.028096199,-1.4305115e-06,-0.1651001,-0.1651001
0.47531748,0.0061798063,3.844214,1.9073486e-06,299.59528,299.59518,-16.770954,-9.048634,0.0016756654,2.7939677e-09,0.11082554,2.3841858e-07,0.06262207,0.06262207
0.47699314,0.006179809,3.9550395,2.1457672e-06,299.6579,299.6578,-9.048634,-15.231725,0.0028206706,8.381903e-09,-0.05397892,1.9073486e-06,-0.088256836,-0.088256836
0.4798138,0.0061798175,3.9010606,4.053116e-06,299.56964,299.56955,-15.231725,-10.626266,0.0019678473,5.122274e-09,0.051166058,1.9073486e-06,0.034179688,0.034179688
0.48178166,0.0061798226,3.9522266,5.9604645e-06,299.60382,299.60373,-10.626266,-18.613499,0.0034469366,1.21071935e-08,-0.030832052,-4.7683716e-07,-0.05593872,-0.05593872
0.4852286,0.0061798347,3.9213946,5.4836273e-06,299.54788,299.5478,-18.613499,-23.908459,0.0044274926,2.0954758e-08,0.064542055,1.9073486e-06,0.11517334,0.11517334
0.4896561,0.0061798557,3.9859366,7.390976e-06,299.66306,299.66296,-23.908459,-24.162441,0.0044745207,2.188608e-08,0.050293922,2.6226044e-06,0.25222778,0.25222778
0.4941306,0.0061798776,4.0362306,1.001358e-05,299.91528,299.9152,-24.162441,-11.112717,0.00205791,4.1909516e-09,0.019580364,1.4305115e-06,0.24987793,0.24984741
0.49618852,0.0061798817,4.055811,1.1444092e-05,300.16516,300.16504,-11.112717,-0.5330983,9.8735094e-05,-5.5879354e-09,-0.08792901,-4.529953e-06,-0.09539795,-0.09539795
