s_0,s_1,s_2,s_3,s_4,s_5,s_6,action,d_0,d_1,d_2,d_3,d_4,d_5
0.59888655,0.008417083,4.124187,6.67572e-06,300.09207,300.092,-10.230009,-26.28871,0.004868269,2.3283064e-08,-0.08717823,-1.4305115e-06,-0.1109314,-0.1109314
0.6037548,0.008417106,4.037009,5.2452087e-06,299.98114,299.98108,-26.28871,-17.273758,0.003198862,1.4901161e-08,0.119402885,4.7683716e-06,0.2880249,0.2880249
0.6069537,0.008417121,4.1564116,1.001358e-05,300.26917,300.2691,-17.273758,-20.592827,0.0038134456,1.4901161e-08,-0.044116497,-9.536743e-07,0.026245117,0.0262146
0.6107671,0.008417136,4.112295,9.059906e-06,300.2954,300.29532,-20.592827,-4.2756724,0.0007917881,-9.313226e-09,0.028775692,4.7683716e-07,0.10769653,0.10769653
0.6115589,0.008417127,4.141071,9.536743e-06,300.4031,300.403,-4.2756724,-3.0529847,0.00056540966,-7.450581e-09,-0.14146638,-7.6293945e-06,-0.2319336,-0.23190308
0.6121243,0.008417119,3.9996045,1.9073486e-06,300.17117,300.1711,-3.0529847,-15.968031,0.002957046,-1.0244548e-08,-0.030179739,-7.1525574e-07,-0.22018433,-0.22018433
0.61508137,0.008417109,3.9694247,1.1920929e-06,299.951,299.95093,-15.968031,-8.669369,0.0016053915,0.0,0.112555504,7.1525574e-07,0.001739502,0.001739502
0.61668676,0.008417109,4.08198,1.9073486e-06,299.95273,299.95267,-8.669369,-15.413106,0.0028542876,9.313226e-09,-0.05310297,1.4305115e-06,-0.12960815,-0.12957764
0.61954105,0.008417118,4.0288773,3.33786e-06,299.82312,299.8231,-15.413106,-10.756392,0.0019919276,4.656613e-09,0.05642891,2.861023e-06,0.0069885254,0.0069885254
0.621533,0.008417123,4.085306,6.198883e-06,299.8301,299.83008,-10.756392,-19.144148,0.0035452247,1.4901161e-08,-0.031079292,-4.7683716e-07,-0.08053589,-0.08053589
0.6250782,0.008417138,4.054227,5.722046e-06,299.74957,299.74954,-19.144148,-24.32644,0.004504919,2.6077032e-08,0.06970644,2.3841858e-06,0.10467529,0.104644775
0.6295831,0.008417164,4.1239333,8.106232e-06,299.85425,299.8542,-24.32644,-24.655542,0.004565835,2.4214387e-08,0.054605007,3.8146973e-06,0.24398804,0.24398804
