episode,s_0,s_1,s_2,s_3,s_4,s_5,s_6,action,d_0,d_1,d_2,d_3,d_4,d_5
1,0.64499944,0.00841687,3.9249213,9.918213e-08,298.55716,298.55713,-11.631838,-1.7126377,0.00031715631,-3.7252903e-09,0.112935305,4.590392e-06,0.06561279,0.06564331
1,0.6453166,0.008416866,4.0378566,4.6895743e-06,298.62277,298.62277,-1.7126377,-13.18443,0.002441585,-4.656613e-09,-0.085954666,-4.031539e-06,-0.05065918,-0.050689697
1,0.6477582,0.008416861,3.951902,6.580353e-07,298.5721,298.57208,-13.18443,-7.1953588,0.0013324618,4.656613e-09,0.10950422,8.5973744e-07,0.09283447,0.09286499
1,0.64909065,0.008416866,4.061406,1.5177727e-06,298.66495,298.66495,-7.1953588,-7.538742,0.00139606,3.7252903e-09,-0.042192936,1.9187926e-06,-0.0065612793,-0.0065612793
1,0.6504867,0.00841687,4.019213,3.4365653e-06,298.6584,298.6584,-7.538742,0.0,0.0,-4.656613e-09,-3.9577484e-05,2.6049156e-07,-0.0015258789,-0.0015258789
1,0.6504867,0.008416865,4.0191736,3.6970569e-06,298.65686,298.65686,0.0,0.0,0.0,-4.656613e-09,-0.08710551,-3.364526e-06,-0.059173584,-0.059173584
1,0.6504867,0.00841686,3.932068,3.3253087e-07,298.5977,298.5977,0.0,-6.638853,0.0012294054,4.656613e-09,-0.0031061172,7.783001e-10,-0.052246094,-0.05227661
1,0.6517161,0.008416865,3.928962,3.3330917e-07,298.54544,298.5454,-6.638853,0.0,0.0,-4.656613e-09,0.068703175,2.667144e-06,-0.0044555664,-0.004425049
1,0.6517161,0.00841686,3.9976652,3.000453e-06,298.541,298.541,0.0,-3.6842647,0.00068229437,1.8626451e-09,-0.07097244,-2.9780417e-06,-0.045654297,-0.045654297
1,0.6523984,0.008416862,3.9266927,2.2411346e-08,298.49533,298.49533,-3.6842647,-1.4498507,0.00026851892,-2.7939677e-09,0.038898706,2.0760895e-06,-0.026153564,-0.026153564
1,0.6526669,0.008416859,3.9655914,2.0985008e-06,298.46918,298.46918,-1.4498507,-7.644788,0.0014156699,4.656613e-09,-0.021690607,-1.3126731e-06,-0.0345459,-0.034576416
1,0.6540826,0.008416864,3.9439008,7.8582764e-07,298.43463,298.4346,-7.644788,-13.909869,0.002575934,1.4901161e-08,0.07244706,2.3651123e-06,0.019165039,0.019195557
1,0.65665853,0.008416879,4.016348,3.1509398e-06,298.4538,298.4538,-13.909869,-12.340476,0.002285242,1.3038516e-08,0.063530445,2.8390887e-06,0.11804199,0.11804199
1,0.6589438,0.008416892,4.0798783,5.9900285e-06,298.57184,298.57184,-12.340476,0.0,0.0,-7.450581e-09,-0.0062885284,-4.2745796e-07,0.08331299,0.08328247
1,0.6589438,0.008416885,4.07359,5.5625705e-06,298.65515,298.65512,0.0,0.0,0.0,-5.5879354e-09,-0.12640452,-4.966127e-06,-0.05899048,-0.05895996
1,0.6589438,0.008416879,3.9471853,5.9644356e-07,298.59616,298.59616,0.0,-2.7102199,0.0005018711,-9.313226e-10,-0.007324457,-5.879797e-07,-0.052093506,-0.052093506
1,0.65944564,0.008416878,3.9398608,8.46386e-09,298.54407,298.54407,-2.7102199,-7.707054,0.0014272332,3.7252903e-09,0.031401157,1.9799472e-06,-0.037384033,-0.03741455
1,0.6608729,0.008416882,3.971262,1.988411e-06,298.50668,298.50665,-7.707054,0.0,0.0,-5.5879354e-09,0.04976654,1.2356797e-06,0.013061523,0.013092041
1,0.6608729,0.008416876,4.0210285,3.2240907e-06,298.51974,298.51974,0.0,-0.3781737,7.003546e-05,-3.7252903e-09,-0.08336806,-3.133313e-06,-0.043151855,-0.043182373
1,0.6609429,0.0084168725,3.9376605,9.0777874e-08,298.4766,298.47656,-0.3781737,-4.133373,0.00076544285,-1.9557774e-08,0.0018639565,3.7389992e-07,-0.03778076,-0.03778076
