episode,s_0,s_1,s_2,s_3,s_4,s_5,s_6,action,d_0,d_1,d_2,d_3,d_4,d_5
2,0.4916981,0.0061798356,4.068673,7.6293945e-06,300.4926,300.4925,-12.105921,-30.21325,0.005595058,1.9557774e-08,-0.09525132,-9.536743e-07,-0.11328125,-0.11325073
2,0.49729314,0.006179855,3.9734218,6.67572e-06,300.37933,300.37924,-30.21325,-20.148647,0.003731221,1.5366822e-08,0.1272099,3.33786e-06,0.3871765,0.387146
2,0.50102437,0.0061798706,4.1006317,1.001358e-05,300.7665,300.7664,-20.148647,-23.952654,0.0044356585,1.7695129e-08,-0.04649067,4.7683716e-07,0.0602417,0.06021118
2,0.50546,0.0061798883,4.054141,1.04904175e-05,300.82675,300.8266,-23.952654,-5.464128,0.001011908,-2.7939677e-09,0.029964924,0.0,0.16177368,0.16177368
2,0.50647193,0.0061798855,4.084106,1.04904175e-05,300.98853,300.98837,-5.464128,-3.8132174,0.0007061362,-3.7252903e-09,-0.14917707,-6.67572e-06,-0.28204346,-0.28204346
2,0.50717807,0.0061798817,3.934929,3.8146973e-06,300.70648,300.70633,-3.8132174,-19.224394,0.0035600662,-4.656613e-09,-0.035865307,-1.66893e-06,-0.27444458,-0.27441406
2,0.51073813,0.006179877,3.8990636,2.1457672e-06,300.43204,300.43192,-19.224394,-10.5595255,0.0019554496,3.259629e-09,0.12397623,2.3841858e-07,0.02645874,0.026489258
2,0.5126936,0.0061798804,4.02304,2.3841858e-06,300.4585,300.4584,-10.5595255,-17.798851,0.0032961369,1.1641532e-08,-0.0569067,2.1457672e-06,-0.1532898,-0.1532898
2,0.5159897,0.006179892,3.966133,4.529953e-06,300.3052,300.3051,-17.798851,-12.425901,0.0023010373,8.381903e-09,0.054917336,2.1457672e-06,0.010925293,0.010925293
2,0.51829076,0.0061799004,4.0210505,6.67572e-06,300.31613,300.31604,-12.425901,-21.872974,0.004050553,1.44355e-08,-0.033914804,-2.3841858e-07,-0.101623535,-0.101623535
2,0.5223413,0.006179915,3.9871356,6.4373016e-06,300.2145,300.21442,-21.872974,-28.008738,0.005186856,2.4214387e-08,0.070375204,2.1457672e-06,0.12826538,0.12826538
2,0.52752817,0.006179939,4.057511,8.583069e-06,300.34277,300.34268,-28.008738,-28.189777,0.005220294,2.514571e-08,0.055787563,3.8146973e-06,0.3126831,0.3126526
2,0.53274846,0.006179964,4.1132984,1.2397766e-05,300.65546,300.65533,-28.189777,-12.837724,0.0023773909,3.259629e-09,0.022857666,1.9073486e-06,0.31451416,0.31448364
2,0.53512585,0.0061799674,4.136156,1.4305115e-05,300.96997,300.96982,-12.837724,-0.38912955,7.2062016e-05,-6.0535967e-09,-0.10092068,-6.67572e-06,-0.14251709,-0.14251709
2,0.5351979,0.0061799614,4.0352354,7.6293945e-06,300.82745,300.8273,-0.38912955,-14.868101,0.0027533174,-2.1792948e-07,-0.1427753,-6.4373016e-06,-0.31121826,-0.31118774
2,0.53795123,0.0061797434,3.89246,1.1920929e-06,300.51624,300.5161,-14.868101,-20.341545,0.003766954,-6.053597e-08,0.12670207,6.9856644e-05,-0.08050537,-0.08047485
2,0.5417182,0.006179683,4.019162,7.104874e-05,300.43573,300.43564,-20.341545,-3.1154735,0.00057697296,1.3038516e-08,0.04529524,-4.2438507e-05,0.06088257,0.060791016
2,0.54229516,0.006179696,4.0644574,2.861023e-05,300.4966,300.49643,-3.1154735,-15.441051,0.0028594136,6.239861e-08,-0.14234972,-2.7894974e-05,-0.2566223,-0.25656128
2,0.5451546,0.0061797583,3.9221077,7.1525574e-07,300.24,300.23987,-15.441051,-15.982165,0.0029596686,3.8184226e-08,0.10205269,1.5497208e-05,-0.040649414,-0.040618896
2,0.54811424,0.0061797965,4.0241604,1.6212463e-05,300.19934,300.19925,-15.982165,-15.139475,0.0028036237,2.2351742e-08,0.010706425,-2.861023e-06,-0.019683838,-0.019622803
2,0.55091786,0.006179819,4.034867,1.335144e-05,300.17966,300.17963,-15.139475,-17.877586,0.0033106804,1.816079e-08,-0.00080013275,-3.33786e-06,-0.032348633,-0.032318115
2,0.55422854,0.006179837,4.0340667,1.001358e-05,300.1473,300.1473,-17.877586,-19.011858,0.0035206676,1.6298145e-08,0.02427721,-9.536743e-07,0.035705566,0.03567505
